price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE
24000,2025 06 07T19:20:58.000Z,TIARET,,ELITEBOOK,,AMD A8 8600B,8GB,,512GB,13.3,,1366x768,DDR3L
24000,2025 07 12T09:12:38.000Z,CONSTANTINE,BON TAT,THINKPAD,AMD RADEON HD 8500,4TH GEN INTEL CORE I5,8GB,256GB,,15.6,,,
24000,2025 06 02T22:02:18.000Z,TIARET,MOYEN,,,4TH GEN INTEL CORE I3,4GB,128GB,,11,,,
23500,2024 08 04T09:43:15.000Z,KOUBA,,PROBOOK,,INTEL PENTIUM N5000,4GB,128GB,,11.6,,1920x1080 FHD,
23500,2024 08 04T09:46:53.000Z,KOUBA,,PROBOOK,,INTEL PENTIUM N4200,4GB,128GB,,11.6,,1920x1080 FHD,
23500,2024 09 15T13:51:37.000Z,KOUBA,BON TAT,PROBOOK,,INTEL PENTIUM N4200,4GB,128GB,,11.6,,1920x1080,
23000,2025 01 09T19:14:08.000Z,AIN TAYA,BON TAT,ASPIRE,,INTEL PENTIUM 3825U,4GB,,500GB,15,,,
23000,2024 10 10T11:00:19.000Z,KOUBA,BON TAT,THINKPAD,,INTEL CORE I5 3320M,4GB,,300GB,14,,,
23000,2025 08 08T19:48:24.000Z,BENI SLIMANE,,PROBOOK,,INTEL CORE I5 2450M,4GB,,480GB,17,,,
23000,2024 09 16T08:43:27.000Z,ZEMMOURI,MOYEN,MACBOOK,,INTEL CORE I5,4GB,128GB,,13,,,
23000,2025 03 04T10:56:17.000Z,MISSEGHINE,MOYEN,PAVILION,,INTEL CORE I5,8GB,256GB,,15,,,
23000,2025 03 21T14:02:34.000Z,BORDJ EL BAHRI,BON TAT,THINKPAD,,INTEL CORE I5,8GB,128GB,,,,,
23000,2025 08 10T04:51:31.000Z,MOHAMMADIA,BON TAT,PROBOOK,,INTEL CORE I3 3110M,4GB,,500GB,15.6,,,
23000,2025 06 29T16:21:38.000Z,MOHAMMADIA,BON TAT,PROBOOK,,INTEL CORE I3 2350M,8GB,,500GB,15,,,
23000,2024 09 29T14:55:52.000Z,SETIF,,ASPIRE,,INTEL CELERON N3050,4GB,32GB,320GB,,,1366x768,
23000,2024 11 26T13:02:26.000Z,HUSSEIN DEY,BON TAT,THINKPAD,,INTEL CELERON N2840,2GB,,500GB,16,,,
23000,2025 03 06T11:02:35.000Z,DJELFA,BON TAT,GALAXY,,AMD E 450,4GB,,500GB,13,,,
